ACTSTART,DATE,TITLE,ARTIST,ACTDUR,
"09:20:00","09/19/16","xfm short female","                                                            ","00:00:05",""
"09:20:05","09/19/16","Better Is One Day","","00:04:48",""
"09:24:53","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"09:24:56","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:03:41",""
"09:28:33","09/19/16","Adonai","Casting Crowns                                              ","00:04:27",""
"09:33:00","09/19/16","MSA_2016-09-19","                                                            ","00:02:06",""
"09:35:06","09/19/16","xfm short female","                                                            ","00:00:05",""
"09:35:11","09/19/16","Bravery","Citizen Way                                                 ","00:03:18",""
"09:38:26","09/19/16","Love the Lord","Elevation Worship                                           ","00:03:40",""
"09:42:02","09/19/16","Nauja diena Ilgas vyras","                                                            ","00:00:14",""
"09:42:13","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:04:41",""
"09:46:51","09/19/16","Shoulders (Radio Version)","Kari Jobe                                                   ","00:04:07",""
"09:50:55","09/19/16","REKLAMA CUT","","00:00:05",""
"09:51:00","09/19/16","Nickas","                                                            ","00:00:33",""
"09:51:33","09/19/16","Saugos Garantas Short","                                                            ","00:00:20",""
"09:51:53","09/19/16","Izraelis","                                                            ","00:01:03",""
"09:52:56","09/19/16","xfm short female","                                                            ","00:00:04",""
"09:53:00","09/19/16","I belong to God PERLAS","                                                            ","00:04:24",""
"09:57:24","09/19/16","Tik su tavim","Unitytm                                                     ","00:02:59",""
"10:00:23","09/19/16","su jumis - valandinis","                                                            ","00:00:12",""
"10:00:34","09/19/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","03:14:53",""
"10:03:31","09/19/16","VU teises klinika 2","Žinios                                                      ","00:00:21",""
"13:15:29","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:00:02",""
"13:15:31","09/19/16","Acid_vid_tempas_nuotaika","                                                            ","00:00:02",""
"13:15:49","09/19/16","Jaunimo X fonas","                                                            ","00:00:02",""
"13:20:26","09/19/16","Through All of It","KUTLESS                                                     ","00:00:04",""
"13:24:48","09/19/16","'Tis So Sweet to Trust in Jesus","Sky Dixon                                                   ","00:00:30",""
"13:25:31","09/19/16","Above All Else","","00:00:30",""
"18:43:57","09/19/16","Salvation Is Here","Elevation Worship                                           ","00:00:07",""
"18:44:01","09/19/16","Cinderella","HEATHER WILLIAMS                                            ","00:00:09",""
"18:44:07","09/19/16","xfm short female","                                                            ","00:00:04",""
"18:44:11","09/19/16","At the Cross (Love Ran Red)","Kutless                                                     ","00:00:07",""
"18:44:15","09/19/16","First","Lauren Daigle                                               ","00:00:23",""
"19:00:00","09/19/16","su jumis - valandinis","                                                            ","00:00:12",""
"19:00:12","09/19/16","O How You Love Me","","00:05:12",""
"19:05:21","09/19/16","In the Blink of an Eye","","00:03:15",""
"19:08:33","09/19/16","xfm short female","                                                            ","00:00:05",""
"19:08:38","09/19/16","The One I'm Running To","Group 1 Crew                                                ","00:02:54",""
"19:11:29","09/19/16","If We're Honest","NATALIE GRANT                                               ","00:01:02",""
"19:59:05","09/19/16","slow - lazy acoustic","                                                            ","00:00:01",""
"20:00:00","09/19/16","su jumis - valandinis","                                                            ","00:00:04",""
"20:11:13","09/19/16","slow - lazy acoustic","                                                            ","00:00:59",""
"20:13:40","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:14:41","09/19/16","slow - lazy acoustic","                                                            ","00:00:59",""
"20:15:43","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:18:58","09/19/16","slow - lazy acoustic","                                                            ","00:00:00",""
"20:18:59","09/19/16","slow - lazy acoustic","                                                            ","00:00:00",""
"20:19:00","09/19/16","slow - lazy acoustic","                                                            ","00:00:00",""
"20:19:01","09/19/16","slow - lazy acoustic","                                                            ","00:00:00",""
"20:19:01","09/19/16","slow - lazy acoustic","                                                            ","00:00:00",""
"20:20:15","09/19/16","xfm short female","                                                            ","00:00:04",""
"20:20:19","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:21:21","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:22:26","09/19/16","slow - lazy acoustic","                                                            ","00:00:59",""
"20:23:27","09/19/16","slow - lazy acoustic","                                                            ","00:00:53",""
"20:24:20","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:25:14","09/19/16","All I Need Is You","sha Williams/Lecrae Moore                                   ","00:03:43",""
"20:28:56","09/19/16","su jumis - valandinis","                                                            ","00:00:13",""
"20:29:07","09/19/16","slow - lazy acoustic","                                                            ","00:00:51",""
"20:29:58","09/19/16","slow - lazy acoustic","                                                            ","00:00:52",""
"20:30:50","09/19/16","slow - lazy acoustic","                                                            ","00:00:49",""
"20:31:39","09/19/16","slow - lazy acoustic","                                                            ","00:01:00",""
"20:32:40","09/19/16","slow - lazy acoustic","                                                            ","00:00:59",""
"20:35:35","09/19/16","Our God","","00:05:27",""
"20:39:17","09/19/16","slow - lazy acoustic","                                                            ","00:00:06",""
"20:39:28","09/19/16","slow - lazy acoustic","                                                            ","00:00:01",""
"20:41:01","09/19/16","slow - lazy acoustic","                                                            ","00:13:36",""
"20:42:21","09/19/16","Heaven Is Here","JESUS CULTURE                                               ","00:00:01",""
"20:44:40","09/19/16","Heaven Is Here","JESUS CULTURE                                               ","00:00:30",""
"20:47:10","09/19/16","Heaven Is Here","JESUS CULTURE                                               ","00:04:01",""
"20:53:35","09/19/16","Healing Rain / Let It Rain","                                                            ","00:03:20",""
